;column name;unit/type;topic;explanation;further information;link to tab Data_Sources;data owner;license required;spatial context;responsible @ eawag;data example;data example;data example
;GWLNR;;river attribute;Number of the Swiss river network (= Gewässerlaufnummer) ;;River network (Vector25);swisstopo;;Line (river_gwn);Rosi Siber;CH0000450000;CH0002080000;CH0001350000
;River_Name;;river attribute;Name of the River in the Swiss river network ;;River network (Vector25);swisstopo;;Line (river_gwn);Rosi Siber;Clemgia;Arnon;Doubs
;EZG_NR;;river attribute;ID for catchment;;Catchment;BAFU;;Polygon (Catchment);Rosi Siber;49231;178761;96271
;FLOZ;;river attribute;stream order (Strahler);;Streamorder;BAFU;;Line (river_gwn);Rosi Siber;4;3;5
;Line_Length;m;river attribute;Line length (after overlay river stretch and ecomorphology stretch);;River network (Vector25)/Ecomorphology_CH_2016;swisstopo/BAFU;;Line (river_gwn overlay emCH);Rosi Siber;465.022114;464.406488;929.014423
;OBJECTVAL;;river attribute;Type of running water ( Bach = creek, Fluss = river, Bach_U = creek covered);;River network (Vector25);swisstopo;;Line (river_gwn);Rosi Siber;Bach;Fluss;Fluss
;UNTERIRDIS;;river attribute;description if water is underground / subsurface ;;River network (Vector25);swisstopo;;Line (river_gwn);Rosi Siber; ; ; 
;GEWAESSER;;river typology ;River Typology: type of water (e.g. running water) ;;River Typology;BAFU;;Line (river_gwn);Rosi Siber;Fliessgewässer;Fliessgewässer;Fliessgewässer
;GROSSFLUSS;;river typology ;River Typology: small / large river;;River Typology;BAFU;;Line (river_gwn);Rosi Siber;NA;NA;NA
;BIOGEO;;river typology ;River Typology: biogeographical regions;;River Typology;BAFU;;Line (river_gwn);Rosi Siber;Zentralalpen;Mittelland;Jura
;HOEHE;;river typology ;River Typology: elevation level;;River Typology;BAFU;;Line (river_gwn);Rosi Siber;montan;kollin;kollin
;ABFLUSS;;river typology ;River Typology: discharge class;;River Typology;BAFU;;Line (river_gwn);Rosi Siber;gross;gross;gross
;GEFAELLE;;river typology ;River Typology: slope class;;River Typology;BAFU;;Line (river_gwn);Rosi Siber;mittelsteil;mittelsteil;flach
;GEO;;river typology ;River Typology: geology class;;River Typology;BAFU;;Line (river_gwn);Rosi Siber;karbonatisch;karbonatisch;karbonatisch
;CODE;;river typology ;River Typology: Code (combination of all attributes);;River Typology;BAFU;;Line (river_gwn);Rosi Siber;42321;21321;11311
;NAME_FGTy;;river typology ;River Typology: Name;;River Typology;BAFU;;Line (river_gwn);Rosi Siber;Mittelsteiles, grosses Fliessgewässer der montanen, karbonatischen Zentralalpen;Mittelsteiles, grosses Fliessgewässer des kollinen, karbonatischen Mittellands;Flaches, grosses Fliessgewässer des kollinen, karbonatischen Juras
;GEWAESSERTYP;;river typology ;River Typology: 54 river types determined ;;River Typology;BAFU;;Line (river_gwn);Rosi Siber;42321;21321;11311
;AEHNLICHKEIT;;river typology ;River Typology: most similar river type;;River Typology;BAFU;;Line (river_gwn);Rosi Siber;42321;21321;11311
;mqn_Jahr;m3/s;hydrology;Mean simulated annual discharge in  (m3/s);;Mean discharge;BAFU;;Line (river_gwn);Rosi Siber;2.97;1.31;<Null>
;mqn_Jan;m3/s;hydrology;Mean simulated monthly discharge in  (m3/s) - January;;Mean discharge;BAFU;;Line (river_gwn);Rosi Siber;0.95;1.39;<Null>
;mqn_Feb;m3/s;hydrology;Mean simulated monthly discharge in  (m3/s)- February;;Mean discharge;BAFU;;Line (river_gwn);Rosi Siber;1.02;1.68;<Null>
;mqn_Mar;m3/s;hydrology;Mean simulated monthly discharge in  (m3/s)- March;;Mean discharge;BAFU;;Line (river_gwn);Rosi Siber;1.31;1.91;<Null>
;mqn_Apr;m3/s;hydrology;Mean simulated monthly discharge in  (m3/s)- April;;Mean discharge;BAFU;;Line (river_gwn);Rosi Siber;2.37;2.16;<Null>
;mqn_Mai;m3/s;hydrology;Mean simulated monthly discharge in  (m3/s);;Mean discharge;BAFU;;Line (river_gwn);Rosi Siber;6.23;1.45;<Null>
;mqn_Jun;m3/s;hydrology;Mean simulated monthly discharge in  (m3/s);;Mean discharge;BAFU;;Line (river_gwn);Rosi Siber;7.08;1.08;<Null>
;mqn_Jul;m3/s;hydrology;Mean simulated monthly discharge in  (m3/s);;Mean discharge;BAFU;;Line (river_gwn);Rosi Siber;4.9;0.79;<Null>
;mqn_Aug;m3/s;hydrology;Mean simulated monthly discharge in  (m3/s);;Mean discharge;BAFU;;Line (river_gwn);Rosi Siber;3.41;0.69;<Null>
;mqn_Sep;m3/s;hydrology;Mean simulated monthly discharge in  (m3/s);;Mean discharge;BAFU;;Line (river_gwn);Rosi Siber;2.67;0.82;<Null>
;mqn_Okt;m3/s;hydrology;Mean simulated monthly discharge in  (m3/s);;Mean discharge;BAFU;;Line (river_gwn);Rosi Siber;2.07;0.93;<Null>
;mqn_Nov;m3/s;hydrology;Mean simulated monthly discharge in  (m3/s);;Mean discharge;BAFU;;Line (river_gwn);Rosi Siber;1.67;1.34;<Null>
;mqn_Dez;m3/s;hydrology;Mean simulated monthly discharge in  (m3/s);;Mean discharge;BAFU;;Line (river_gwn);Rosi Siber;1.23;1.5;<Null>
;regimetyp;class;hydrology;Discharge regime type;;Mean discharge;BAFU;;Line (river_gwn);Rosi Siber;nivo glaciaire;pluvial jurassien;<Null>
;regimenr;(1-16);hydrology;No. regime type;;Mean discharge;BAFU;;Line (river_gwn);Rosi Siber;5;12;<Null>
;abflussvar;%;hydrology;discharge variability ;;Mean discharge;BAFU;;Line (river_gwn);Rosi Siber;17;26;<Null>
;Slope;%;;"slope calculated by regression method from BAFU; values < 0.10 modified to 0.1";;swissALTI3D;swisstopo;;Line (river_gwn);Rosi Siber;3.56153;1.0139;0.136889
;Channel_Width;m;river attribute;calculated channel width;Annex Channel_Width;Ecomorphology_CH_2016 / Stream order;BAFU;;Line (emCH);Rosi Siber;30;7.7;40
;Channel_Width_Source;;river attribute;data source for channel width ;Annex Channel_Width;;BAFU;;Line (emCH);Rosi Siber;Channel width: Ecomorphology;Channel width: Ecomorphology;Channel width: Ecomorphology
;FLSTR_EZG;m;catchment;sum of length of all river stretches in the total catchment;;Catchment;BAFU;;Polygon (Catchment);Rosi Siber;92444.5;24722.3;173130
;FLSTR_SUBE;m;catchment;sum of length of all river stretches in the subcatchment;;Catchment;BAFU;;Polygon (Catchment);Rosi Siber;465.022;475.424;1267.32
;A_SUBEZG;m2;catchment;area of subcatchment;;Catchment;BAFU;;Polygon (Catchment);Rosi Siber;527284.486;285760.3482;2377295.928
;A_EZG;m2;catchment;area of total catchment;;Catchment;BAFU;;Polygon (Catchment);Rosi Siber;90718992.3;39418382.22;303167009.3
;EZG_OK;;catchment;check if total catchment could be calculated;;Catchment;BAFU;;Polygon (Catchment);Rosi Siber;1;1;1
;EZG_CH;;catchment;entire catchment within Switzerland;;Catchment;BAFU;;Polygon (Catchment);Rosi Siber;1;1;0
;FASS;m2;landuse;area of vertical facades (not included in settlement area);;Catchment;BAFU;;Polygon (Catchment);Rosi Siber;11066.72;991781.21;6735556.1
;DACH;m2;landuse;roof area =  footprint of the buildings, not specific for any roof type, entspricht Gebäudegrundriss;;Catchment;BAFU;;Polygon (Catchment);Rosi Siber;5128.07;399011.21;2917264.84
;FA_DACH;m2;landuse;building envelopes (facades and roof area);;Catchment;BAFU;;Polygon (Catchment);Rosi Siber;16194.79;1390792.41;9652820.93
;S_STR_L;m;landuse;road length in settlement areas;;Catchment;BAFU;;Polygon (Catchment);Rosi Siber;0;33142.69;221413.53
;S_STR_A;m2;landuse;road areas in settlement areas = road length from line data * average width of 11.7m, can overlap with other areas! ;;Catchment;BAFU;;Polygon (Catchment);Rosi Siber;0;387769.44;2590538.28
;GRUEF;m2;landuse;green area within settlement areas: for areas with no measurements a fraction of 0.38 of total settlement area is assumed (average from areas with measurements).;;Catchment;BAFU;;Polygon (Catchment);Rosi Siber;7031.65;1187434.46;5582198.76
