"iGLM";"hGLM";"chGLM";"GAM";"SVM";"RF";"BCT";"ANN";"Taxa";"Prevalence";"Taxonomic level";"Null_model";"expl.pow_iGLM";"expl.pow_hGLM";"expl.pow_chGLM";"expl.pow_GAM";"expl.pow_SVM";"expl.pow_RF";"expl.pow_BCT";"expl.pow_ANN"
0.486034812957916;0.489252501969443;0.487716327876082;0.46018516713477;0.494089461453693;0.138837731990958;0.426082922126568;0.475749803360931;"Occurrence.Simuliidae";0.923019709929342;"family";0.542663038656323;0.104352464908284;0.0984230229114723;0.101253829478221;0.151987265846915;0.0895096473179782;0.744154803071292;0.214829660812015;0.123305312005539
0.739826320553117;0.742874829001086;0.746359382923432;0.704464974415753;0.718821906779274;0.205866329591274;0.722064607786851;0.698090200313758;"Occurrence.Limoniidae";0.865005578281889;"family";0.791543597715128;0.0653372439765773;0.0614858977503321;0.0570836716033396;0.110011152324063;0.0918732602294718;0.739917889317116;0.0877765799999339;0.118064750534441
0.873661160297491;0.875271050474253;0.876106705737574;0.833859297853122;0.836360312927734;0.258178643641048;0.749326760328012;0.821794273967064;"Occurrence.Limnephilidae";0.822238750464857;"family";0.935963459055595;0.0665648836557869;0.064844848368954;0.0639520194286406;0.109089901122313;0.106417772151449;0.724157347016993;0.199405967104637;0.121980387144312
0.8901451908622;0.892348473552398;0.894153183863932;0.853061679453788;0.861196982959042;0.258356644800939;0.776004580010046;0.834399745087082;"Occurrence.Rhyacophilidae";0.805875790256601;"family";0.984296306063927;0.0956532241579012;0.0934147897793265;0.0915812866965495;0.133328374597817;0.125063278553938;0.737521472742213;0.21161486106436;0.152288045838821
0.694221455723095;0.698076947269632;0.697319821554319;0.649996657849121;0.660256704744911;0.183012994081713;0.566859105881391;0.636927904708448;"Occurrence.Elmidae";0.764968389735961;"family";1.09056995358128;0.363432438750611;0.35989713912689;0.36059138685747;0.403984443442053;0.394576475743972;0.832185919407807;0.480217565118217;0.415967859175961
0.631621412187124;0.638073678774192;0.634898150834161;0.559519285888451;0.569404631170955;0.141184105077933;0.491858772055358;0.553444649870409;"Occurrence.Gammaridae";0.732986240238007;"family";1.16053196633123;0.455748371857557;0.45018862273021;0.45292489198617;0.517876885668864;0.509358942545113;0.878345354394454;0.57617817834845;0.523111240425368
0.968558698822333;0.972313124406186;0.972522258875219;0.925914712337015;0.883900916001935;0.251217389189609;0.818227758468782;0.873993558280608;"Occurrence.Heptageniidae";0.7244328746746;"family";1.17743548541178;0.177399771942835;0.174211125405195;0.174033506782668;0.213617456065379;0.249299917529827;0.786640208909832;0.305076355684471;0.257714270455382
0.83474836351331;0.843116694854324;0.839050240353098;0.792103241096945;0.777009729563971;0.234303802987904;0.690188310120899;0.766169404464193;"Occurrence.Nemouridae";0.707698029007066;"family";1.2083999653351;0.309211860758516;0.302286727043627;0.30565188313257;0.344502429808259;0.356992922994254;0.806104096566299;0.428841170208491;0.365963731841282
1.21857598326336;1.22141405074389;1.22279567210826;1.17230337996784;1.15161375137115;0.378492199053819;1.09179555639706;1.14268081086552;"Occurrence.Empididae";0.688359985124582;"family";1.24081318179951;0.017921471872107;0.0156342077438975;0.0145207271775813;0.0552136315414686;0.0718878810579737;0.694964395441945;0.120096745898799;0.0790871441192146
0.909788061738633;0.915799890747045;0.914962156397581;0.850581419678061;0.845421745295462;0.223767667883638;0.758934681629246;0.851957924688408;"Occurrence.Hydropsychidae";0.686872443287467;"family";1.24316052010929;0.268165255393849;0.263329332026621;0.264003206667838;0.315791158165734;0.31994160720199;0.82000098598372;0.389511917927924;0.314683895677841
0.881117029194943;0.885471257095001;0.886372779775244;0.838415055206809;0.849418550194753;0.220705434995851;0.766210923615338;0.798875525081485;"Occurrence.Leuctridae";0.680550390479732;"family";1.25290778493388;0.296742314326474;0.293267016341724;0.292547472021636;0.330824610327521;0.322042244122874;0.823845427692431;0.388453856836898;0.362382822831892
1.19563124686373;1.20038014605187;1.19870405691088;1.15781007405192;1.10535306965494;0.378874257499777;1.06513079074748;1.11073587527136;"Occurrence.Ceratopogonidae";0.595760505764225;"family";1.34938646630396;0.1139445394479;0.110425236930252;0.111667348944009;0.141972961072283;0.180847668731586;0.719224798113225;0.210655496149353;0.176858592398872
1.33067967301154;1.33289902474446;1.33536381574209;1.28791972617371;1.21708650775029;0.440542794970391;1.21895615047474;1.24164660357103;"Occurrence.Psychodidae";0.517664559315731;"family";1.3850459547219;0.0392523305995853;0.0376499637428369;0.0358703903003603;0.0701249140630068;0.121266335170325;0.681929113277077;0.119916457414953;0.103534002364322
1.16716182441065;1.17271744047915;1.17252346753684;1.11811879054135;1.05333440891159;0.30549427054268;1.03897147100543;1.05285636092357;"Occurrence.Leptophlebiidae";0.450353291186315;"family";1.37641891352558;0.15203008841177;0.147993805552019;0.148134731356225;0.187660980567764;0.234728323942044;0.778051385707725;0.245163328696063;0.235075636801029
1.0461548430347;1.0495161722401;1.05038971739277;1.00557819024866;0.995271693065212;0.306794505869758;0.924430409368559;0.966487827953323;"Occurrence.Sphaeriidae";0.428783934548159;"family";1.36593829332975;0.234112662231263;0.231651841547182;0.231012321330982;0.263818728006113;0.271364088754672;0.775396511417888;0.323226814942663;0.292436684238998
1.14868782782581;1.15359775929651;1.15196043914377;1.08438570189218;0.996776892199367;0.304943648739124;0.991725207765957;1.00960794048394;"Occurrence.Taeniopterygidae";0.440684269245073;"family";1.37218774001095;0.162878522864047;0.159300345237523;0.160493563996875;0.20973954928097;0.273585630351563;0.777768274815886;0.277267112328198;0.264234833874932
