"Taxa";"Prevalence";"Taxonomic level";"Null_model";"iGLM.fit";"GAM.fit";"SVM.fit";"RF.fit";"ANN.fit";"expl.pow_iGLM.fit";"expl.pow_GAM.fit";"expl.pow_SVM.fit";"expl.pow_RF.fit";"expl.pow_ANN.fit";"iGLM.pred";"GAM.pred";"SVM.pred";"RF.pred";"ANN.pred";"expl.pow_iGLM.pred";"expl.pow_GAM.pred";"expl.pow_SVM.pred";"expl.pow_RF.pred";"expl.pow_ANN.pred";"iGLM.likelihood.ratio";"GAM.likelihood.ratio";"SVM.likelihood.ratio";"RF.likelihood.ratio";"ANN.likelihood.ratio";"Big.model.diff";"Big.pred.expl.pow.diff";"chGLM.model.diff";"chGLM.pred.expl.pow.diff"
"Occurrence.Simuliidae";0.923019709929342;"family";0.542663038656323;0.490313235703164;0.461107225603995;0.519554497682925;0.155572883754494;0.457133684731251;0.0964683408009162;0.15028812954401;0.0425835911556023;0.713315865145884;0.157610428262903;0.479983927768454;0.485861334055556;0.514527575555148;0.487030035600041;0.516594288889714;0.115502819287394;0.104672145612519;0.0518470231008187;0.102518504289574;0.0480385578335259;1.00517801378236;0.987699226475418;1.00251662245527;0.84727617413609;0.970707295987931;"iGLM-ANN";0.0674642614538678;NA;NA
"Occurrence.Limoniidae";0.865005578281889;"family";0.791543597715128;0.740761240797104;0.713548260171928;0.733052014114021;0.235724967104557;0.687780027495584;0.0641561084754057;0.0985357442955036;0.0738955930790785;0.702195851517211;0.131090151596284;0.774285017433912;1.12020632127829;0.744711139769408;0.7534073917094;0.710648842285835;0.0218037014398634;-0.415217461820015;0.0591659866631569;0.0481795394666982;0.102198736320785;0.983377810503854;0.816009705125031;0.9941873961033;0.771945588775178;0.988630716985208;"ANN-GAM";0.5174161981408;NA;NA
"Occurrence.Limnephilidae";0.822238750464857;"family";0.935963459055595;0.803161240976652;0.767625388405818;0.778138374596782;0.256427354896912;0.742686100044886;0.141888250864989;0.179855387537921;0.16862312618279;0.72602845504711;0.206500966614369;1.17527832779183;1.28428959704639;1.23665197977132;1.16327676652407;1.31126756652798;-0.255688260498665;-0.3721578386642;-0.321260961425918;-0.242865579066347;-0.400981580895345;0.830224989359233;0.772338692493826;0.795124317302707;0.635448197764987;0.752547822230477;"RF-ANN";0.158116001828998;NA;NA
"Occurrence.Rhyacophilidae";0.805875790256601;"family";0.984296306063927;0.916259877627634;0.883268789549176;0.899928288435448;0.302208532674284;0.836973012716153;0.0691218975598537;0.102639333188952;0.0857140447533075;0.692969961573079;0.149673723694951;0.788448778733501;0.903236966565533;0.803695183443229;0.858360417595461;0.729813695431358;0.198972124678183;0.0823525791969488;0.183482475254731;0.127945099146076;0.258542685840417;1.06599171050007;0.99006558704433;1.04929294590969;0.757239312714021;1.05504103155655;"ANN-GAM";0.176190106643468;NA;NA
"Occurrence.Elmidae";0.764968389735961;"family";1.09056995358128;0.780388845218892;0.725280817968431;0.721867245303454;0.233273903792568;0.670129013717842;0.284421102327087;0.334952502967178;0.33808258431021;0.786099091556182;0.385524045003045;0.362451697459499;0.447258011858228;0.448567157996204;0.386139232276448;0.345061089441585;0.667649290841676;0.589885994576051;0.588685570766761;0.645928964933959;0.683595638859798;1.23240626817404;1.14913720360375;1.14642687894913;0.926415293064675;1.17648827382746;"ANN-SVM";0.0949100680930368;NA;NA
"Occurrence.Gammaridae";0.732986240238007;"family";1.16053196633123;0.658695687638914;0.587586402275549;0.601248772042217;0.170639918596297;0.536910190232064;0.432419177800646;0.493692186581404;0.481919680383356;0.852964051360224;0.537358551243195;0.563878462889971;0.548472308544342;0.489487018733422;0.846428365516617;0.520442645718035;0.514120697017463;0.527395776715899;0.578221856067586;0.270654846162992;0.551548203050968;1.0485503722138;1.01974953871627;1.05747170666578;0.713270731218063;1.0082677629864;"SVM-RF";0.307567009904594;NA;NA
"Occurrence.Heptageniidae";0.7244328746746;"family";1.17743548541178;0.962317189958143;0.92248947047532;0.887112636418128;0.281671283017644;0.841078910816466;0.182700706848841;0.216526525737673;0.246572192354235;0.760775612330781;0.285668793545563;1.03384655757998;1.30957491484297;1.03263225659643;1.08063748124427;1.15191688094758;0.121950569360991;-0.112226471062207;0.122981879355129;0.0822108772555454;0.0216730383790699;0.964867315670769;0.824034630884115;0.929824137583322;0.670666624627472;0.856056427475029;"SVM-GAM";0.235208350417336;NA;NA
"Occurrence.Nemouridae";0.707698029007066;"family";1.2083999653351;0.793517084803722;0.748711054245418;0.791126595603602;0.238073485926526;0.663792835628963;0.343332416776701;0.380411224988913;0.345310643579659;0.80298453098639;0.450684496300126;1.0568464606663;1.03504768460032;1.16257436397862;1.08797479482139;1.12042455360957;0.125416674128073;0.143456045769344;0.0379225444149824;0.0996567146377914;0.0728032226491678;0.87663489206218;0.866608193307459;0.830502878303119;0.65380204655712;0.795872836539832;"GAM-SVM";0.105533501354361;NA;NA
"Occurrence.Empididae";0.688359985124582;"family";1.24081318179951;1.21698562590653;1.17756084357353;1.17516065489041;0.437908150762396;1.12475322837158;0.0192031775955435;0.0509765201996417;0.0529108876921268;0.64707970773867;0.0935353968915867;1.22679308563486;1.76280566665169;1.18463539856897;1.12816307808941;1.18090582087288;0.0112991192955565;-0.420685799046027;0.0452749729407862;0.0907873202529432;0.0482807257412868;0.995108273790214;0.746303883237159;0.995273831807762;0.708130086859956;0.972314180044809;"RF-GAM";0.511473119298971;NA;NA
"Occurrence.Hydropsychidae";0.686872443287467;"family";1.24316052010929;1.00732922770299;0.939517328901447;0.94180112832629;0.277448505431428;0.926389099524671;0.189703009861968;0.244250992768938;0.242413901429646;0.776820047818896;0.25481135819594;0.527526984083071;0.496532255894902;0.614953967720787;0.55757748924527;0.470728048660352;0.575656582114839;0.600588783296264;0.505330198495425;0.551483915209718;0.621345722418077;1.27112345772056;1.24793793420532;1.17753536485287;0.869302170636289;1.25587246895204;"ANN-SVM";0.116015523922651;NA;NA
"Occurrence.Leuctridae";0.680550390479732;"family";1.25290778493388;0.856701864958335;0.812594705646715;0.830044642363308;0.23214105375239;0.721207693865379;0.316229114975491;0.351432950279258;0.337505399563693;0.814718164781264;0.424372884790208;1.0649883874291;1.07827919988649;0.995581898241628;1.04144357396146;0.987381480689413;0.149986614948441;0.139378641546715;0.205382941814692;0.16877875093064;0.211928050441859;0.901096196019574;0.875603210142462;0.920564115398246;0.667209452845183;0.875389023264805;"ANN-GAM";0.0725494088951437;NA;NA
"Occurrence.Ceratopogonidae";0.595760505764225;"family";1.34938646630396;1.20690690896703;1.17257853136834;1.13115317000554;0.4549624287688;1.1142386627474;0.10558839953923;0.131028389087009;0.161727793888565;0.662837563492863;0.174262755280663;1.23010062004462;1.276683190946;1.11693172812518;1.12672086692325;1.05477442311195;0.0884000612412215;0.0538787642928561;0.172266985021339;0.165012474143605;0.218330367577327;0.98847012880444;0.94927918996356;1.00713606214546;0.714709423866896;1.03017853257443;"ANN-GAM";0.164451603284471;NA;NA
"Occurrence.Psychodidae";0.517664559315731;"family";1.3850459547219;1.32621246836247;1.28777035072352;1.21895947026915;0.508380108374168;1.20416735577417;0.0424776421019496;0.0702327627951624;0.119914060531006;0.63295072871698;0.130593933241763;1.34811982342671;1.39649652479322;1.29371523210888;1.25179753943837;1.32929236351572;0.0266605820328938;-0.00826728530723904;0.0659405720811294;0.0962050499691085;0.0402539648710589;0.989106095549529;0.947088168630994;0.96331204931949;0.689555069955487;0.939354347695774;"RF-GAM";0.104472335276347;NA;NA
"Occurrence.Leptophlebiidae";0.450353291186315;"family";1.37641891352558;1.14391539669538;1.09308329639253;1.05086167874506;0.343122810621162;1.01969027764342;0.168919152843271;0.205849842913963;0.236524819283854;0.750713385838123;0.259171559164663;1.30865095337047;1.53733685436795;1.32705760550214;1.33235790165213;1.33862961861553;0.0492349817989087;-0.116910585332043;0.0358621256496722;0.032011338583388;0.0274547919522919;0.920933197125354;0.800813831531777;0.871013360154668;0.609804085010523;0.852595825821273;"iGLM-GAM";0.166145567130952;NA;NA
"Occurrence.Sphaeriidae";0.428783934548159;"family";1.36593829332975;1.00068148740677;0.957036388454376;0.924980605701045;0.330753680702551;0.868819720024045;0.267403591880125;0.299356059400454;0.322824017587049;0.757856059590897;0.363939261190108;1.26569560739491;1.25348652394256;1.21706208748174;1.21484934148891;1.26574790100838;0.0733874190542552;0.0823256584403033;0.108991897053486;0.110611842847256;0.0733491350309404;0.875896750258512;0.862237031358369;0.864122497347577;0.642718893222963;0.819989215620889;"RF-ANN";0.0372627078163161;NA;NA
"Occurrence.Taeniopterygidae";0.440684269245073;"family";1.37218774001095;1.14656915139161;1.08751015348071;0.991652387326197;0.330089976680749;1.00249507575956;0.164422536392531;0.207462563780058;0.277320181188702;0.759442555084981;0.26941842830372;1.14754927470863;1.43120102204634;1.05688596121839;1.10027888727576;1.22460387656389;0.163708258536491;-0.0430067113374167;0.229780349728272;0.198157179813469;0.107553696293685;0.999510058402091;0.842109324341452;0.967909404046904;0.680386367072634;0.894890065225396;"SVM-GAM";0.272787061065689;NA;NA
"Occurrence.Perlodidae";0.443659352919301;"family";1.37357028038428;1.08447805621115;1.03551491896413;1.00772946333306;0.321658443612117;0.996628343656643;0.210467733833213;0.246114353410129;0.266342991163777;0.765823090230136;0.274424936321556;0.914082457156737;1.16215692934908;0.880566808091003;0.887498840825899;0.908550477873195;0.334520795760807;0.153915204816496;0.358921184692022;0.353874458773522;0.338548241143503;1.0889324357187;0.938642116329865;1.06564614874351;0.753579922187893;1.04502303986531;"SVM-GAM";0.205005979875525;NA;NA
"Occurrence.Athericidae";0.368910375604314;"family";1.31674643300699;1.12849015903297;1.06800663599934;1.03524808568306;0.349781904948395;0.980126272833179;0.142970787127258;0.188904857284948;0.213783261733309;0.734358950075441;0.255645393627602;1.1258981692399;1.1947207171551;1.09297786460474;0.979722607977973;0.921400437715096;0.144939267715548;0.0926721446081508;0.169940516103196;0.255951955958121;0.300244591807295;1.00129683506083;0.938608292608875;0.9715477219358;0.72981051172446;1.0297982585367;"ANN-GAM";0.207572447199145;NA;NA
"Occurrence.Psychomyiidae";0.336184455187802;"family";1.27694430252207;1.052424224446;0.981891874410048;0.985491719856564;0.342567253677406;0.936578028351184;0.175826054145528;0.231061313738798;0.228242204526747;0.731728899216037;0.266547470785245;1.45266138315464;2.01832303393976;1.34057494660207;1.32486672496555;1.39713765340211;-0.13760747456683;-0.580588150911053;-0.0498303989879009;-0.0375289841137368;-0.0941257583769676;0.818633674269807;0.595582369552408;0.837326154645366;0.611922440540367;0.794311313150576;"RF-GAM";0.543059166797316;NA;NA
"Occurrence.Nematoda";0.335812569728524;"phylum";1.27643766236218;1.22652869795536;1.20002436896477;1.16360732817005;0.484362847029495;1.17076665051963;0.0391001972743871;0.059864492916951;0.0883947078021205;0.620535446961717;0.0827858774137051;1.32053292253975;1.38042151065023;1.31002986220558;1.28813344494571;1.24425455437271;-0.0345455649561177;-0.081464102285745;-0.0263171487601182;-0.00916283100099883;0.0252132234408598;0.954085382281138;0.913749723202706;0.929404456775047;0.669057482879716;0.963922914359243;"ANN-GAM";0.106677325726605;NA;NA
"Occurrence.Hydraenidae";0.317218296764597;"family";1.24950976125645;1.13521037148887;1.09348070722228;1.08045539433376;0.400760071044044;1.02138191746622;0.0914753876373426;0.124872216986344;0.135296555628901;0.679266154238716;0.18257387886337;1.01840329239626;2.01680357019333;0.991261751572798;1.0264287758338;0.963346314847829;0.184957713837943;-0.614075882180648;0.206679465572136;0.178534808082112;0.229020576934802;1.06014271891468;0.630235681783008;1.04560620884624;0.731371052398628;1.02944291974373;"ANN-GAM";0.84309645911545;NA;NA
"Occurrence.Planariidae";0.326143547787281;"family";1.26282770894167;1.20874752471977;1.16691153888786;1.09700368624091;0.383569661729311;1.07570133569127;0.0428246734205929;0.075953488646672;0.131311675794424;0.696261288049526;0.148180446093652;1.10721708378483;1.08023202944651;1.10379434675906;0.988581094143696;1.36466115056266;0.1232239552989;0.144592709046734;0.125934330595174;0.217168670639804;-0.0806392201405947;1.05207585840675;1.04429263793789;0.996610427356526;0.738964264174029;0.865472301786285;"RF-ANN";0.297807890780399;NA;NA
"Occurrence.Sericostomatidae";0.276682781703235;"family";1.17958594850796;1.10205207157947;1.06607293842283;1.07765847272342;0.358729690513732;0.967381647313866;0.0657297393433393;0.0962312328565022;0.0864095371036488;0.695885076481724;0.17989727790714;1.16323514117004;1.75827188706421;1.08764263371879;0.974928164305179;0.973343144757694;0.0138614802580522;-0.490583953876546;0.0779454137322202;0.173499679664419;0.17484338806438;0.969871651000965;0.707442111282819;0.995020359227515;0.734842390912879;0.997023689298921;"ANN-GAM";0.665427341940925;NA;NA
"Occurrence.Tipulidae";0.274823354406843;"family";1.1759949175073;1.12184670050946;1.10962806976123;1.11391270457739;0.474496630579803;1.08649883518392;0.0460446012067951;0.0564346382437964;0.0527912255450023;0.596514726793572;0.0761024397223421;1.24414675407885;1.25390847801416;1.27929033673674;1.24965954016152;1.22114086613728;-0.0579524924444462;-0.0662533139786146;-0.087836620457847;-0.0626402559718279;-0.0383895780142285;0.940682101677892;0.930400440685195;0.920637590264116;0.678696348930658;0.934895037384644;"ANN-SVM";0.0494470424436185;NA;NA
"Occurrence.Polycentropodidae";0.256972852361473;"family";1.13973348306801;1.03616316615434;0.979959127907647;0.954558376288426;0.314813079291906;0.922416849499906;0.0908723999534273;0.140185716690774;0.162472288066079;0.72378360031639;0.190673202811516;1.3718349819148;1.39283695174729;1.39359358178161;1.16529843624753;1.52186425925009;-0.203645415612431;-0.222072504176999;-0.222736369936453;-0.0224306415134025;-0.335280819471441;0.845492561969065;0.813475953623423;0.802906024217357;0.653611148523177;0.7410229334238;"RF-ANN";0.312850177958038;NA;NA
"Occurrence.Odontoceridae";0.246931944960952;"family";1.11787874294149;1.03576042509196;0.975961467188316;1.01091894943762;0.306902206081619;0.893723914476767;0.0734590565998691;0.126952298403799;0.0956810335461062;0.725460200384468;0.200518016717;0.936066134280483;1.4537050922569;0.930945139601069;0.952562248718239;0.915900852358018;0.162640724505235;-0.300413932580691;0.167221717490162;0.147884102159639;0.18067960577907;1.05111041703973;0.787515825560608;1.04079714477948;0.72409692494865;0.988972781530742;"ANN-GAM";0.481093538359761;NA;NA
"Occurrence.Dugesiidae";0.223131275567125;"family";1.06168527830838;0.918257948088424;0.88242398151065;0.869665386177274;0.288820853586362;0.873484542135776;0.135094018114754;0.168845985208872;0.180863289766118;0.727960008971256;0.177266031674165;1.36502797299329;2.68259269666556;1.48269226781319;1.36890652734164;1.48253683070239;-0.285718094507473;-1.52673061544172;-0.396545942669194;-0.28937129986653;-0.396399536654176;0.799806854408936;0.406535363955611;0.736008625554927;0.582723289793072;0.737472747286126;"iGLM-GAM";1.24101252093425;NA;NA
"Occurrence.Lymnaeidae";0.216065451840833;"family";1.04376566858319;0.8501778022311;0.818575955737989;0.872169879626903;0.271527876209161;0.769089448838435;0.185470620637355;0.215747384325135;0.164400683142998;0.739857436988003;0.263158894771466;1.44510261466281;1.40952679579012;1.27303120194076;1.21633634643984;1.26564450366;-0.384508667184277;-0.350424561964582;-0.219652303441616;-0.165334694415563;-0.21257533348265;0.742700503618378;0.744177706366936;0.818378233458349;0.623501420800189;0.780143402052951;"RF-iGLM";0.219173972768714;NA;NA
