Taxa;Prevalence;Taxonomic level;Null_model;iGLM.fit;chGLM.fit;hGLM.fit;GAM.fit;SVM.fit;RF.fit;ANN.fit;expl.pow_iGLM.fit;expl.pow_chGLM.fit;expl.pow_hGLM.fit;expl.pow_GAM.fit;expl.pow_SVM.fit;expl.pow_RF.fit;expl.pow_ANN.fit;iGLM.pred;chGLM.pred;hGLM.pred;GAM.pred;SVM.pred;RF.pred;ANN.pred;expl.pow_iGLM.pred;expl.pow_chGLM.pred;expl.pow_hGLM.pred;expl.pow_GAM.pred;expl.pow_SVM.pred;expl.pow_RF.pred;expl.pow_ANN.pred;iGLM.likelihood.ratio;chGLM.likelihood.ratio;hGLM.likelihood.ratio;GAM.likelihood.ratio;SVM.likelihood.ratio;RF.likelihood.ratio;ANN.likelihood.ratio;Big.model.diff;Big.pred.expl.pow.diff;chGLM.model.diff;chGLM.pred.expl.pow.diff
Occurrence.Ceratopogonidae;0.596;family;1.349;1.191;1.196;1.197;1.146;1.092;0.373;1.081;0.117;0.114;0.113;0.151;0.191;0.724;0.199;1.219;1.219;1.219;1.208;1.184;1.166;1.208;0.096;0.097;0.097;0.105;0.123;0.136;0.105;0.986;0.989;0.989;0.969;0.955;0.673;0.938;RF-iGLM;0.039741404;NA;NA
Occurrence.Planariidae;0.326;family;1.263;1.178;1.183;1.185;1.130;1.081;0.339;1.032;0.067;0.063;0.062;0.106;0.144;0.731;0.182;1.195;1.195;1.198;1.178;1.182;1.101;1.178;0.054;0.054;0.051;0.067;0.064;0.128;0.068;0.992;0.994;0.993;0.976;0.951;0.683;0.930;RF-hGLM;0.076378531;NA;NA
Occurrence.Hydraenidae;0.317;family;1.250;1.105;1.111;1.113;1.045;1.028;0.335;0.975;0.115;0.111;0.109;0.164;0.177;0.732;0.220;1.131;1.128;1.137;1.108;1.127;1.094;1.097;0.095;0.097;0.090;0.113;0.098;0.124;0.122;0.987;0.992;0.988;0.969;0.951;0.684;0.941;RF-hGLM;0.034159776;NA;NA
Occurrence.Physidae;0.057;family;0.435;0.354;0.365;0.365;0.331;0.382;0.088;0.324;0.186;0.159;0.160;0.239;0.121;0.797;0.255;0.371;0.383;0.379;0.382;0.444;0.385;0.414;0.146;0.118;0.128;0.122;-0.021;0.113;0.046;0.991;0.991;0.993;0.975;0.970;0.862;0.956;iGLM-SVM;0.167083499;NA;NA
Occurrence.Glossosomatidae;0.115;family;0.715;0.616;0.625;0.622;0.578;0.628;0.153;0.547;0.139;0.126;0.130;0.191;0.121;0.786;0.235;0.637;0.652;0.645;0.646;0.690;0.635;0.637;0.110;0.088;0.098;0.097;0.035;0.111;0.109;0.990;0.987;0.989;0.967;0.970;0.786;0.956;RF-SVM;0.076067978;NA;NA
Occurrence.Scirtidae;0.198;family;0.996;0.870;0.877;0.875;0.832;0.859;0.242;0.787;0.127;0.119;0.121;0.164;0.138;0.757;0.210;0.890;0.900;0.887;0.884;0.929;0.891;0.883;0.106;0.097;0.109;0.113;0.067;0.106;0.113;0.990;0.989;0.994;0.975;0.965;0.723;0.953;ANN-SVM;0.04645382;NA;NA
Occurrence.Cordulegastridae;0.066;family;0.487;0.416;0.429;0.426;0.392;0.440;0.116;0.384;0.147;0.121;0.125;0.196;0.097;0.762;0.211;0.431;0.436;0.439;0.430;0.480;0.439;0.436;0.115;0.106;0.099;0.118;0.014;0.098;0.106;0.992;0.996;0.994;0.981;0.980;0.851;0.975;GAM-SVM;0.103573255;NA;NA
Occurrence.Rhyacophilidae;0.806;family;0.984;0.888;0.894;0.892;0.845;0.850;0.255;0.795;0.098;0.092;0.093;0.142;0.137;0.741;0.192;0.904;0.907;0.900;0.892;0.920;0.893;0.894;0.082;0.079;0.085;0.094;0.065;0.093;0.091;0.992;0.994;0.996;0.977;0.965;0.727;0.952;GAM-SVM;0.029164876;NA;NA
Occurrence.Dugesiidae;0.223;family;1.062;0.992;0.997;0.998;0.949;0.958;0.275;0.919;0.065;0.061;0.060;0.106;0.098;0.741;0.134;1.004;1.004;1.010;1.002;1.044;0.965;0.990;0.055;0.054;0.049;0.056;0.016;0.091;0.068;0.994;0.997;0.994;0.974;0.958;0.709;0.965;RF-SVM;0.07517359;NA;NA
Occurrence.Hydroptilidae;0.157;family;0.868;0.730;0.738;0.737;0.706;0.779;0.219;0.683;0.159;0.149;0.151;0.187;0.102;0.748;0.213;0.745;0.748;0.742;0.750;0.836;0.792;0.757;0.141;0.138;0.145;0.136;0.037;0.088;0.128;0.992;0.995;0.997;0.978;0.972;0.751;0.964;hGLM-SVM;0.107456205;NA;NA
