"Taxa";"Prevalence";"Taxonomic level";"Null_model";"iGLM.fit";"GAM.fit";"SVM.fit";"RF.fit";"chGLM.fit";"hGLM.fit";"ANN.fit";"expl.pow_iGLM.fit";"expl.pow_GAM.fit";"expl.pow_SVM.fit";"expl.pow_RF.fit";"expl.pow_chGLM.fit";"expl.pow_hGLM.fit";"expl.pow_ANN.fit";"iGLM.pred";"GAM.pred";"SVM.pred";"RF.pred";"chGLM.pred";"hGLM.pred";"ANN.pred";"expl.pow_iGLM.pred";"expl.pow_GAM.pred";"expl.pow_SVM.pred";"expl.pow_RF.pred";"expl.pow_chGLM.pred";"expl.pow_hGLM.pred";"expl.pow_ANN.pred";"iGLM.likelihood.ratio";"GAM.likelihood.ratio";"SVM.likelihood.ratio";"RF.likelihood.ratio";"chGLM.likelihood.ratio";"hGLM.likelihood.ratio";"ANN.likelihood.ratio";"Big.model.diff";"Big.pred.expl.pow.diff";"CF0.model.diff";"CF0.pred.expl.pow.diff"
"Occurrence.Simuliidae";0.923019709929342;"family";0.542663038656323;0.484117570880143;0.451003081789097;0.476186910272357;0.153700456004866;0.491644465569888;0.49102679273472;0.445519996642691;0.107885489900221;0.168907683659797;0.122499827053942;0.716766307899943;0.0940151981103425;0.0951534234751991;0.179011716468043;0.498716207513883;0.501818123386522;0.530956397831578;0.516360498310071;0.500124848009602;0.506814388419001;0.522476695465423;0.0809836454888402;0.0752675460833602;0.0215725781761941;0.0484693787352444;0.0783878532653502;0.0660606079346888;0.0371986698060057;0.99272725700718;0.97491253392941;0.972986818874358;0.834160022812772;0.995768785698501;0.992137276361793;0.962252537848151;"iGLM-SVM";0.0594110673126461;NA;NA
"Occurrence.Limoniidae";0.865005578281889;"family";0.791543597715128;0.736479992440512;0.694281692182961;0.716042021938058;0.235319737904324;0.743105340552424;0.741465386798494;0.66635811767231;0.0695648419538273;0.122876245620486;0.0953852396696947;0.702707799565812;0.0611946799930243;0.0632665226036697;0.158153613274341;0.755881269649338;0.751980363569866;0.774394659575085;0.771681147827804;0.759958107697201;0.767396987156762;0.74401410377299;0.0450541551580143;0.0499823815889173;0.0216651845704331;0.0250933112776853;0.0399036643200729;0.0305057240410616;0.0600465900796077;0.990346260816296;0.971562833280594;0.971245200562274;0.764769570959551;0.991609018889638;0.987117893698152;0.961916151180362;"ANN-SVM";0.0383814055091746;NA;NA
"Occurrence.Limnephilidae";0.822238750464857;"family";0.935963459055595;0.869159630700393;0.821324762803013;0.812208939218862;0.296467085768463;0.87413226311368;0.871897101739279;0.785303795301862;0.0713743979093032;0.122482021219348;0.132221529205428;0.683249294723959;0.0660615490313097;0.068449635182297;0.160967463308612;0.881181956172198;0.867142947002834;0.898142937912441;0.878522664630415;0.883507357647074;0.88294112731113;0.881087926390634;0.058529531632221;0.0735290586260733;0.0404081171943564;0.0613707659945814;0.0560450313535217;0.0566500019113631;0.0586299947225842;0.994006868155851;0.977351328691805;0.95794300229023;0.747494905271386;0.995323422136433;0.994493205501933;0.953236668606071;"GAM-SVM";0.0331209414317169;NA;NA
"Occurrence.Rhyacophilidae";0.805875790256601;"family";0.984296306063927;0.887209304969914;0.845033339393648;0.850146372486696;0.286920105094884;0.895958258983269;0.894967082601972;0.793034417336938;0.098635949861735;0.141484800676712;0.136290193055462;0.708502304308913;0.0897474129857405;0.0907544028273064;0.194313325721825;0.903315547047975;0.892973930618696;0.921949175998965;0.897942486547022;0.907492112766869;0.909043292104477;0.913836216392804;0.0822727450230745;0.0927793540244168;0.0633418307890231;0.0877315285904329;0.0780295453959269;0.0764536181796484;0.0715842264540073;0.991979218470648;0.976314710157637;0.964735410011106;0.736746660053311;0.994249669911577;0.992986604704762;0.9413870562976;"GAM-SVM";0.0294375232353937;NA;NA
"Occurrence.Elmidae";0.764968389735961;"family";1.09056995358128;0.694225372485437;0.644005430820386;0.641198554849391;0.206844643840407;0.706207076561817;0.701612070435699;0.589942836686303;0.363428847268625;0.409478109399987;0.412051879163016;0.810333447055682;0.352442203049212;0.356655601842226;0.459050898340805;0.705472382325103;0.673073169941123;0.718978729569509;0.669210429802456;0.717013371629386;0.710081087404108;0.71065928876542;0.353115882196799;0.382824395875896;0.340731213794692;0.386366342108672;0.342533352147825;0.348889922125306;0.348359739389744;0.994392277386142;0.985571237302559;0.96185642351534;0.793594309932563;0.994611423213407;0.99577444440536;0.94142722942436;"RF-SVM";0.0456351283139802;NA;NA
"Occurrence.Gammaridae";0.732986240238007;"family";1.16053196633123;0.631059079800641;0.551354872179206;0.555152968413383;0.159245694825641;0.642250606612711;0.641203280199657;0.503628449880124;0.456232918946992;0.5249119471287;0.521639227079304;0.862782155558315;0.446589473409297;0.447491927148994;0.566036555225415;0.646699514884265;0.598807977729666;0.634197435779225;0.561204947814304;0.654359785509732;0.647851478879456;0.654722751397693;0.442755965672653;0.484022848915858;0.453528679796644;0.516424394936375;0.436155311104142;0.44176334846898;0.435842552904892;0.992210280806367;0.976552708879246;0.961248581656834;0.817929095467171;0.993963702642532;0.996681419361714;0.927236009621844;"RF-ANN";0.0805818420314828;NA;NA
"Occurrence.Heptageniidae";0.7244328746746;"family";1.17743548541178;0.966327002609184;0.918426249409331;0.859913391228194;0.283050449320848;0.973353704715405;0.973427977571875;0.830501898149398;0.179295159198272;0.219977433338414;0.269672604671451;0.75960428165467;0.173327356976171;0.173264276784186;0.29465188671552;0.981034053346778;0.970318630801438;0.988797448207742;0.931136644807086;0.988558633056993;0.986491712346375;0.998220531259316;0.166804410516233;0.17590505567098;0.160210932608397;0.209182450891193;0.160413759135802;0.162169201991251;0.152207875822421;0.992673445647701;0.974387519312322;0.937590466221903;0.723219072598364;0.992426361465063;0.993489418886942;0.919560613950752;"RF-ANN";0.0569745750687725;NA;NA
"Occurrence.Nemouridae";0.707698029007066;"family";1.2083999653351;0.836155520218288;0.783606843340172;0.786626674255851;0.277084872292837;0.840289872681951;0.840171129621557;0.721790264070445;0.30804738149226;0.351533543678257;0.34903451107125;0.770701025950462;0.304626037084561;0.304724301784826;0.402689271122014;0.853888997133993;0.856163694647624;0.892976521472611;0.816451412250801;0.858879192597883;0.858336355812291;0.913452364259767;0.293372209840143;0.291489805355796;0.261025697542968;0.324353330294586;0.289242620625444;0.289691840090161;0.244081106865594;0.991172455142244;0.964371750265195;0.948214132936946;0.763621317834498;0.990748401875594;0.990958509241354;0.908617513944586;"RF-ANN";0.0802722234289921;NA;NA
"Occurrence.Empididae";0.688359985124582;"family";1.24081318179951;1.21446155274241;1.16377530812193;1.12774684915268;0.44147636031483;1.22021943278433;1.21719896829563;1.09015057300572;0.0212373864524002;0.0620866015993305;0.0911227687659279;0.644204005251968;0.0165969779474089;0.0190312400369915;0.121422476005044;1.23814828281094;1.21572033370662;1.2160816976834;1.19702997345222;1.24805014756202;1.24364037026686;1.22264566282202;0.00214770364118247;0.0202229058015805;0.0199316742269384;0.0352858987875944;-0.00583243784693553;-0.00227849648021981;0.0146416231258476;0.98822649156238;0.974361871727763;0.956793753571121;0.685383456681301;0.986181013666349;0.986866308616939;0.935899158542773;"RF-chGLM";0.0411183366345299;NA;NA
"Occurrence.Hydropsychidae";0.686872443287467;"family";1.24316052010929;0.901542774652449;0.835268672495596;0.84664802504909;0.243379207936135;0.910338680815575;0.90914235117786;0.794845166633805;0.27479777545285;0.328108752663603;0.318955186113328;0.80422543670005;0.267722336665306;0.26868466584031;0.360625475329664;0.922703337452092;0.898034328258703;0.945702634411292;0.868942221356028;0.9207578185623;0.929409476341531;0.937389118116974;0.257776190180996;0.277619974466569;0.239275524669854;0.301021704518387;0.25934116820139;0.252381763008511;0.245962928395953;0.989475492901519;0.969104501828909;0.951679172485384;0.731409703224088;0.994803977396943;0.989917608967565;0.931208591536093;"RF-SVM";0.0617461798485324;NA;NA
